 ================================================================================
                               TOYGENERATOR HISTOGRAMS                                       
 ================================================================================
 
   ISR generation using seed = 5235 at center of mass energy = 1.00 GeV
 
 
 ****************************************************************
 
 p modulus mu-
      binlow         binhigh         content           error
       0.380           0.385          11.216           1.262
       0.385           0.390          11.642           1.286
       0.390           0.395           8.802           1.118
       0.395           0.400           9.796           1.179
       0.400           0.405           7.383           1.024
       0.405           0.410           7.809           1.053
       0.410           0.415           6.389           0.952
       0.415           0.420           4.685           0.816
       0.420           0.425           2.130           0.550
       0.425           0.430           1.278           0.426
       0.430           0.435           0.852           0.348
       0.435           0.440           0.426           0.246
       0.440           0.445           0.284           0.201
       0.445           0.450           0.568           0.284
       0.450           0.455           0.710           0.317
       0.455           0.460           0.426           0.246
       0.460           0.465           0.284           0.201
       0.465           0.470           0.000           0.000
       0.470           0.475           0.000           0.000
       0.475           0.480           0.000           0.000
       0.480           0.485           0.000           0.000
       0.485           0.490           0.000           0.000
       0.490           0.495           0.000           0.000
       0.495           0.500           0.000           0.000
       0.500           0.500           0.000           0.000
 
 
 ****************************************************************
 
 Theta mu-
      binlow         binhigh         content           error
       0.000           0.000           0.000           0.000
       0.000           1.800           0.000           0.000
       1.800           3.600           0.000           0.000
       3.600           5.400           0.000           0.000
       5.400           7.200           0.000           0.000
       7.200           9.000           0.000           0.000
       9.000          10.800           0.000           0.000
      10.800          12.600           0.000           0.000
      12.600          14.400           0.000           0.000
      14.400          16.200           0.000           0.000
      16.200          18.000           0.000           0.000
      18.000          19.800           0.000           0.000
      19.800          21.600           0.000           0.000
      21.600          23.400           0.000           0.000
      23.400          25.200           0.000           0.000
      25.200          27.000           0.000           0.000
      27.000          28.800           0.000           0.000
      28.800          30.600           0.000           0.000
      30.600          32.400           0.000           0.000
      32.400          34.200           0.000           0.000
      34.200          36.000           0.000           0.000
      36.000          37.800           0.000           0.000
      37.800          39.600           0.000           0.000
      39.600          41.400           0.000           0.000
      41.400          43.200           0.000           0.000
      43.200          45.000           0.000           0.000
      45.000          46.800           0.000           0.000
      46.800          48.600           0.000           0.000
      48.600          50.400           0.000           0.000
      50.400          52.200           0.000           0.000
      52.200          54.000           0.000           0.000
      54.000          55.800           0.000           0.000
